dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,em_min,em_max,target_classification,obs_title,t_obs_release,instrument_name,proposal_pi,proposal_id,proposal_type,project,sequence_number,provenance_name,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,intentType,obsid,objID
spectrum,3,JWST,jw02738-o004_s02364_niriss_f200w-gr150r,JWST-NEP-TDS-FIELD,260.6995667,65.82265,59996.32809,59996.55802,687.153,INFRARED,GR150R;F200W,800,2300,Unidentified; Infrared sources; Radio sources; Variable radiation sources; Visible sources; X-ray sources,JWST Medium-Deep Fields -- Windhorst/Hammel GTO North Ecliptic Pole Fields,60361.79329,NIRISS/WFSS,"Windhorst, Rogier A.",2738,GTO,JWST,-999,CALJWST,POLYGON 260.74448006 65.80377953 260.65370412 65.80396258 260.65456027 65.84146562 260.74544824 65.84125147 260.74448006 65.80377953,mast:JWST/product/jw02738-o004_s02364_niriss_f200w-gr150r_cal.jpg,mast:JWST/product/jw02738-o004_s02364_niriss_f200w-gr150r_x1d.fits,PUBLIC,False,NaN,science,220526253,560906549
spectrum,3,JWST,jw01180-o029_s00019_nirspec_f170lp-g235m,GS-MEDIUM-HST,53.15372125,-27.78036944,59861.37064,59861.70757,3063.666,Infrared,F170LP;G235M,1660,5000,,NIRCam-NIRSpec galaxy assembly survey - GOODS-S - part #1athen,60227.03569,NIRSPEC/MSA,"Eisenstein, Daniel J.",1180,GTO,JWST,-999,CALJWST,POLYGON 53.20890996 -27.80953236 53.209865452 -27.80953236 53.209865452 -27.809578066 53.20890996 -27.809578066,mast:JWST/product/jw01180-o029_s00019_nirspec_f170lp-g235m_cal.jpg,mast:JWST/product/jw01180-o029_s00019_nirspec_f170lp-g235m_s2d.fits,PUBLIC,False,NaN,science,183655501,427599171
spectrum,3,JWST,jw02738-o004_s02584_niriss_f200w-gr150r,JWST-NEP-TDS-FIELD,260.6995667,65.82265,59996.32809,59996.55802,687.153,INFRARED,GR150R;F200W,800,2300,Unidentified; Infrared sources; Radio sources; Variable radiation sources; Visible sources; X-ray sources,JWST Medium-Deep Fields -- Windhorst/Hammel GTO North Ecliptic Pole Fields,60361.79329,NIRISS/WFSS,"Windhorst, Rogier A.",2738,GTO,JWST,-999,CALJWST,POLYGON 260.74448006 65.80377953 260.65370412 65.80396258 260.65456027 65.84146562 260.74544824 65.84125147 260.74448006 65.80377953,mast:JWST/product/jw02738-o004_s02584_niriss_f200w-gr150r_cal.jpg,mast:JWST/product/jw02738-o004_s02584_niriss_f200w-gr150r_x1d.fits,PUBLIC,False,NaN,science,220526835,560905985
spectrum,3,JWST,jw03538-o002_s00082_nircam_f460m-grismr,A370,39.97931958,-1.600719444,60300.72347,60300.78786,880.415,INFRARED,F460M;GRISMR,4515,4747,Clusters of Galaxies; Abell clusters,Unveiling the properties of high-redshift low/intermediate-mass galaxies in Lensing fields with NIRCam Wide Field Slitless Spectroscopy,60301.31854,NIRCAM/GRISM,"Iani, Edoardo",3538,GO,JWST,-999,CALJWST,POLYGON 39.99749628 -1.61889436 39.96115678 -1.61869714 39.96157393 -1.58274992 39.99706246 -1.58268604 39.99749628 -1.61889436,mast:JWST/product/jw03538-o002_s00082_nircam_f460m-grismr_cal.jpg,mast:JWST/product/jw03538-o002_s00082_nircam_f460m-grismr_x1d.fits,PUBLIC,False,NaN,science,213007115,563980828
spectrum,3,JWST,jw01181-o005_s70530_nirspec_clear-prism,1181-MERGED-APT-CLEAN-CLEAN,189.1338629,62.26666111,59980.31592,59980.63591,6127.332,Infrared,CLEAR;PRISM,600,5300,,NIRCam-NIRSpec galaxy assembly survey - GOODS-N,60345.9941,NIRSPEC/MSA,"Eisenstein, Daniel J.",1181,GTO,JWST,-999,CALJWST,POLYGON 189.078703641 62.257797792 189.079316561 62.257797792 189.079316561 62.256999173 189.078703641 62.256999173,mast:JWST/product/jw01181-o005_s70530_nirspec_clear-prism_cal.jpg,mast:JWST/product/jw01181-o005_s70530_nirspec_clear-prism_s2d.fits,PUBLIC,False,NaN,science,127028997,427864530
image,2,JWST,jw01538065001_02105_00002_nis,P177D,239.8065016,47.61165182,60056.21121,60056.21125,3.38,INFRARED,GR150R;F115W,800,2200,Star; G dwarfs,Absolute Flux Calibration (G Dwarfs),60057.07293,NIRISS/WFSS,"Gordon, Karl D.",1538,CAL,JWST,-999,CALJWST,POLYGON 239.816778129 47.624495994 239.819658469 47.623229479 239.789229249 47.591977677 239.786346115 47.593240517,mast:JWST/product/jw01538065001_02105_00002_nis_trapsfilled.jpg,mast:JWST/product/jw01538065001_02105_00002_nis_rateints.fits,PUBLIC,False,NaN,science,128911288,450024647
spectrum,3,JWST,jw01180-o025_s47034_nirspec_f070lp-g140m,GS-MEDIUM-HST,53.15372125,-27.78036944,59859.46621,59859.76516,3063.666,Infrared,F070LP;G140M,700,5000,,NIRCam-NIRSpec galaxy assembly survey - GOODS-S - part #1athen,60225.12631,NIRSPEC/MSA,"Eisenstein, Daniel J.",1180,GTO,JWST,-999,CALJWST,POLYGON 53.100319251 -27.721502682 53.101277096 -27.721502682 53.101277096 -27.721557533 53.100319251 -27.721557533,mast:JWST/product/jw01180-o025_s47034_nirspec_f070lp-g140m_cal.jpg,mast:JWST/product/jw01180-o025_s47034_nirspec_f070lp-g140m_s2d.fits,PUBLIC,False,NaN,science,182493027,427848716
spectrum,3,JWST,jw03538-o008_s00601_nircam_f410m-grismr,A2744,3.562185417,-30.39078889,60249.34225,60249.40826,880.415,INFRARED,F410M;GRISMR,3864,4301,Clusters of Galaxies; Abell clusters,Unveiling the properties of high-redshift low/intermediate-mass galaxies in Lensing fields with NIRCam Wide Field Slitless Spectroscopy,60249.65215,NIRCAM/GRISM,"Iani, Edoardo",3538,GO,JWST,-999,CALJWST,POLYGON 3.58323366 -30.40872053 3.541179 -30.40894554 3.54162142 -30.37279561 3.58266893 -30.37284285 3.58323366 -30.40872053,mast:JWST/product/jw03538-o008_s00601_nircam_f410m-grismr_cal.jpg,mast:JWST/product/jw03538-o008_s00601_nircam_f410m-grismr_x1d.fits,PUBLIC,False,NaN,science,213006633,563974999
image,2,JWST,jw01134009001_02101_00001_nrcb2,HD-84406-TILE-88,146.8817321,63.43090556,59613.65303,59613.65402,75.157,Infrared,F212N,2109,2134,,OTE-01: Initial Image Mosaic,59774.85417,NIRCAM/IMAGE,"Perrin, Marshall",1134,COM,JWST,-999,CALJWST,POLYGON 146.985041701 63.437465017 146.974230148 63.420342502 146.936302167 63.424961507 146.946586443 63.442189989,mast:JWST/product/jw01134009001_02101_00001_nrcb2_cal.jpg,mast:JWST/product/jw01134009001_02101_00001_nrcb2_cal.fits,PUBLIC,False,NaN,science,71647012,306868571
image,2,JWST,jw03486012001_03102_00004_nrs2,2MASS-J22443167+2043433,341.1336481,20.72709827,60482.70156,60482.70172,12.464,INFRARED,CLEAR;PRISM,600,5300,Star; Brown dwarfs,Equator-to-Pole Atmospheric Differences in Giant Exoplanet Analogs,60847.7185,NIRSPEC/SLIT,"Vos, Johanna",3486,GO,JWST,-999,CALJWST,POLYGON 341.134072762 20.72752647 341.133744608 20.726668108 341.13369054 20.726685746 341.134018683 20.727544082,mast:JWST/product/jw03486012001_03102_00004_nrs2_rateints.jpg,mast:JWST/product/jw03486012001_03102_00004_nrs2_rateints.fits,EXCLUSIVE_ACCESS,False,NaN,science,216642052,554013731
spectrum,3,JWST,jw01211-o013_s03075_nirspec_f290lp-g395h,GOODSN2001,189.1492896,62.28030278,60028.1441,60028.24727,1750.666,INFRARED,F290LP;G395H,2870,5140,,NIRSpec WIDE MOS Survey - GOODS-N,60394.93611,NIRSPEC/MSA,"Isaak, Kate",1211,GTO,JWST,-999,CALJWST,POLYGON 189.193818394 62.298660734 189.194533057 62.298660734 189.194533057 62.29821701 189.193818394 62.29821701,mast:JWST/product/jw01211-o013_s03075_nirspec_f290lp-g395h_cal.jpg,mast:JWST/product/jw01211-o013_s03075_nirspec_f290lp-g395h_s2d.fits,PUBLIC,False,NaN,science,120867223,563217591
spectrum,-1,JWST,jw05804008001_xx107_00003_miri,HOPS-56,83.831175,-5.259188889,NaN,NaN,167.229,Infrared,F770W,6600,8800,,HEFE: High Angular Resolution observations of Stellar Emergence in Filamentary Environments,NaN,MIRI/IFU,"Megeath, Tom",5804,GO,JWST,7,APT,POLYGON 83.83229067855 -5.25902002644 83.83235354839 -5.25991109338 83.83131116341 -5.25998774762 83.83126152806 -5.25909067063,,,PUBLIC,False,NaN,science,212625235,393567141
spectrum,3,JWST,jw01187-o022_s00739_nircam_f277w-grismc,LDN-694,295.2708333,10.95555556,59836.19282,59836.28209,150.315,Infrared,F277W;GRISMC,2416,3127,ISM; Dark interstellar clouds; Dense interstellar clouds,Extinction Mapping of Pre-stellar Cores,60201.95034,NIRCAM/GRISM,"Hodapp, Klaus Werner",1187,GTO,JWST,-999,CALJWST,POLYGON 295.28932197 10.93762167 295.25238149 10.93739667 295.25276122 10.97354669 295.2888347 10.97349947 295.28932197 10.93762167,mast:JWST/product/jw01187-o022_s00739_nircam_f277w-grismc_cal.jpg,mast:JWST/product/jw01187-o022_s00739_nircam_f277w-grismc_x1d.fits,PUBLIC,False,NaN,science,176993419,318455588
spectrum,3,JWST,jw03538-o001_s01604_nircam_f300m-grismc,A2744,3.562185417,-30.39078889,60242.28017,60246.84997,773.047,INFRARED,F300M;GRISMC,2829,3155,Clusters of Galaxies; Abell clusters,Unveiling the properties of high-redshift low/intermediate-mass galaxies in Lensing fields with NIRCam Wide Field Slitless Spectroscopy,60247.20804,NIRCAM/GRISM,"Iani, Edoardo",3538,GO,JWST,-999,CALJWST,POLYGON 3.58325304 -30.4089622 3.54113394 -30.40876498 3.54162464 -30.37281784 3.58274296 -30.37275395 3.58325304 -30.4089622,mast:JWST/product/jw03538-o001_s01604_nircam_f300m-grismc_cal.jpg,mast:JWST/product/jw03538-o001_s01604_nircam_f300m-grismc_x1d.fits,PUBLIC,False,NaN,science,213006105,563969138
spectrum,-1,JWST,jw05893009006_xx108_00001_nircam,C3D-09_CWEBTILE-4-3,149.8977967,2.238130556,NaN,NaN,311.366,INFRARED,F115W;F356W,1013,3980,,COSMOS-3D: A Legacy Spectroscopic/Imaging Survey of the Early Universe,NaN,NIRCAM/GRISM,"Kakiichi, Koki",5893,GO,JWST,8,APT,POLYGON 149.84711354579 2.36776518075 149.88053472488 2.35494756776 149.84953631235 2.27161396164 149.81545567306 2.28243213702,,,PUBLIC,False,NaN,science,212628111,451849599
spectrum,3,JWST,jw03325-o012_s03995_nirspec_f290lp-g395m,J0226-MSA-Targets,36.50663333,3.052297222,60304.31904,60334.25713,3501.333,INFRARED,F290LP;G395M,2870,5100,,Mapping the Most Extreme Protoclusters in the Epoch of Reionization,60753.46782,NIRSPEC/MSA,"Wang, Feige",3325,GO,JWST,-999,CALJWST,POLYGON 36.520363318 3.054352135 36.520725363 3.054352135 36.520725363 3.053595558 36.520363318 3.053595558,mast:JWST/product/jw03325-o012_s03995_nirspec_f290lp-g395m_cal.jpg,mast:JWST/product/jw03325-o012_s03995_nirspec_f290lp-g395m_s2d.fits,EXCLUSIVE_ACCESS,False,NaN,science,212761928,454725052
spectrum,3,JWST,jw01181-o011_s01093_nirspec_clear-prism,21_3_23_mediumjwst_trim_ta5,189.2135646,62.21797222,60069.01725,60069.68646,9190.998,Infrared,CLEAR;PRISM,600,5300,,NIRCam-NIRSpec galaxy assembly survey - GOODS-N,60436.65244,NIRSPEC/MSA,"Eisenstein, Daniel J.",1181,GTO,JWST,-999,CALJWST,POLYGON 189.178867964 62.224769923 189.18058143 62.224769923 189.18058143 62.224499839 189.178867964 62.224499839,mast:JWST/product/jw01181-o011_s01093_nirspec_clear-prism_cal.jpg,mast:JWST/product/jw01181-o011_s01093_nirspec_clear-prism_s2d.fits,PUBLIC,False,NaN,science,134185633,428716401
spectrum,3,JWST,jw01207-o003_s00143_nirspec_f100lp-g140m,final_merged_23june2023,53.14988083,-27.79999167,60163.9931,60164.10177,7002.666,INFRARED,F100LP;G140M,700,5000,,MIRI in the Hubble Ultra-Deep Field,60530.4341,NIRSPEC/MSA,"Rieke, George",1207,GTO,JWST,-999,CALJWST,POLYGON 53.170499728 -27.820925836 53.170980258 -27.820925836 53.170980258 -27.821665031 53.170499728 -27.821665031,mast:JWST/product/jw01207-o003_s00143_nirspec_f100lp-g140m_cal.jpg,mast:JWST/product/jw01207-o003_s00143_nirspec_f100lp-g140m_s2d.fits,EXCLUSIVE_ACCESS,False,NaN,science,163256640,532783401
spectrum,3,JWST,jw01085-o012_s02581_niriss_f115w-gr150r,NIRISS-FOCUS-FIELD,82.7995,-68.77833333,59695.69123,59695.71817,214.736,INFRARED,GR150R;F115W,800,2200,Calibration; Focus test,NIRISS CFM Focus Sweep,59779.60396,NIRISS/WFSS,"Martel, Andre",1085,COM,JWST,-999,CALJWST,POLYGON 82.85039811 -68.7971896 82.74752706 -68.79700594 82.74865736 -68.75950349 82.85133223 -68.75971708 82.85039811 -68.7971896,mast:JWST/product/jw01085-o012_s02581_niriss_f115w-gr150r_cal.jpg,mast:JWST/product/jw01085-o012_s02581_niriss_f115w-gr150r_x1d.fits,PUBLIC,False,NaN,science,214655626,496683347
spectrum,-1,JWST,jw04706013001_xx10c_00004_nirspec,PN-TC1-OFF,266.4181704,-46.09448889,NaN,NaN,218.833,INFRARED,F100LP;G140H,810,5000,,Fullerenes in Tc 1: a quantitative study of the interaction of large molecules with their radiative environment.,NaN,NIRSPEC/IFU,"Cami, Jan",4706,GO,JWST,12,APT,POLYGON 266.41808341949 -46.09506856195 266.41724204725 -46.09439789729 266.41816810009 -46.09382546992 266.41900952469 -46.0944959136,,,PUBLIC,False,NaN,science,212589539,529420473
spectrum,3,JWST,jw01187-o073_s01955_nircam_f356w-grismc,LDN-694,295.2708333,10.95555556,59878.31707,59878.35738,150.315,INFRARED,F356W;GRISMC,3140,3980,ISM; Dark interstellar clouds; Dense interstellar clouds,Extinction Mapping of Pre-stellar Cores,60380.494,NIRCAM/GRISM,"Hodapp, Klaus Werner",1187,GTO,JWST,-999,CALJWST,POLYGON 295.28932197 10.93762167 295.25238149 10.93739667 295.25276122 10.97354669 295.2888347 10.97349947 295.28932197 10.93762167,mast:JWST/product/jw01187-o073_s01955_nircam_f356w-grismc_cal.jpg,mast:JWST/product/jw01187-o073_s01955_nircam_f356w-grismc_x1d.fits,PUBLIC,False,NaN,science,176544204,563922405
image,3,JWST,jw02311-o003_t003_miri_f1280w-sub256,DH-TAU-B,67.42318458,26.54939167,59848.1824,59848.18664,124.6,INFRARED,F1280W,11600,14000,Star; Exoplanet Systems,JWST MIRI Imaging Survey of Planetary-mass Companions: Testing the Compact Disk Hypothesis,60213.25396,MIRI/IMAGE,"Wu, Ya-Lin",2311,GO,JWST,-999,CALJWST,POLYGON 67.429673128 26.544714948 67.418003793 26.54363139 67.416795468 26.554040083 67.42846585 26.555123739,mast:JWST/product/jw02311-o003_t003_miri_f1280w-sub256_i2d.jpg,mast:JWST/product/jw02311-o003_t003_miri_f1280w-sub256_i2d.fits,PUBLIC,False,NaN,science,94870069,544960384
spectrum,3,JWST,jw03538-o020_s00939_nircam_f335m-grismc,M0416,64.05019333,-24.09331944,60302.16883,60302.22903,773.047,INFRARED,F335M;GRISMC,3177,3538,Clusters of Galaxies; Rich clusters,Unveiling the properties of high-redshift low/intermediate-mass galaxies in Lensing fields with NIRCam Wide Field Slitless Spectroscopy,60302.9092,NIRCAM/GRISM,"Iani, Edoardo",3538,GO,JWST,-999,CALJWST,POLYGON 64.07009955 -24.11149315 64.03030236 -24.11129593 64.03076431 -24.07534877 64.0696193 -24.07528489 64.07009955 -24.11149315,mast:JWST/product/jw03538-o020_s00939_nircam_f335m-grismc_cal.jpg,mast:JWST/product/jw03538-o020_s00939_nircam_f335m-grismc_x1d.fits,PUBLIC,False,NaN,science,199450568,563978161
spectrum,3,JWST,jw02738-o008_s00232_niriss_f200w-gr150c,JWST-NEP-TDS-FIELD,260.6995667,65.82265,59836.36146,59836.39832,687.153,INFRARED,GR150C;F200W,800,2300,Unidentified; Infrared sources; Radio sources; Variable radiation sources; Visible sources; X-ray sources,JWST Medium-Deep Fields -- Windhorst/Hammel GTO North Ecliptic Pole Fields,59963.60358,NIRISS/WFSS,"Windhorst, Rogier A.",2738,GTO,JWST,-999,CALJWST,POLYGON 260.74448006 65.80377953 260.65370412 65.80396258 260.65456027 65.84146562 260.74544824 65.84125147 260.74448006 65.80377953,mast:JWST/product/jw02738-o008_s00232_niriss_f200w-gr150c_cal.jpg,mast:JWST/product/jw02738-o008_s00232_niriss_f200w-gr150c_x1d.fits,PUBLIC,False,NaN,science,213009754,451500106
image,2,JWST,jw01037028001_02101_00002_mirimage,HD-158165,261.6126701,30.80431585,59750.58086,59750.58088,1.917,INFRARED,FND,5000,27500,Star; K stars,MIRI Coronagraphic Contrast Ratios,59774.85417,MIRI/TARGACQ,"Boccaletti, Anthony",1037,COM,JWST,-999,CALJWST,POLYGON 261.617953548 30.80837747 261.618446827 30.801584432 261.608196847 30.80100326 261.607720361 30.807753177,mast:JWST/product/jw01037028001_02101_00002_mirimage_cal.jpg,mast:JWST/product/jw01037028001_02101_00002_mirimage_cal.fits,PUBLIC,False,NaN,science,87466799,558361363
spectrum,3,JWST,jw02078-o005_s01543_nircam_f356w-grismr,J0229M0808,37.39685833,-8.139716667,59807.34727,59807.3853,472.418,INFRARED,F356W;GRISMR,3140,3980,Galaxy; High-redshift galaxies; Quasars,A SPectroscopic survey of biased halos In the Reionization Era (ASPIRE): A JWST Quasar Legacy Survey,60172.81414,NIRCAM/GRISM,"Wang, Feige",2078,GO,JWST,-999,CALJWST,POLYGON 37.41521352 -8.15789125 37.37851719 -8.15769403 37.37893972 -8.12174683 37.41477413 -8.12168294 37.41521352 -8.15789125,mast:JWST/product/jw02078-o005_s01543_nircam_f356w-grismr_cal.jpg,mast:JWST/product/jw02078-o005_s01543_nircam_f356w-grismr_x1d.fits,PUBLIC,False,NaN,science,216573564,563995340
image,2,JWST,jw01537026001_04107_00004_nrca2,G191-B2B-OFFSET,76.3777076,52.83188838,59830.55483,59830.55628,121.389,INFRARED,F187N;MASKRND,1863,1884,Star; White dwarfs,Absolute Flux Calibration (White Dwarfs),59830.62847,NIRCAM/CORON,"Gordon, Karl D.",1537,CAL,JWST,-999,CALJWST,POLYGON 76.382790311 52.82935093 76.373733158 52.829021865 76.373111638 52.834435238 76.382169139 52.834776086,mast:JWST/product/jw01537026001_04107_00004_nrca2_trapsfilled.jpg,mast:JWST/product/jw01537026001_04107_00004_nrca2_rateints.fits,PUBLIC,False,NaN,science,91537621,449561164
spectrum,3,JWST,jw01090-o001_s03619_niriss_f158m-gr150c,SMP-LMC-58,81.08652083,-70.08375556,59731.80908,59731.81713,107.368,INFRARED,GR150C;F158M,800,2200,Calibration; Planetary nebulae; Wavelength,NIRISS GR150C/R Wavelength Calibration,59774.85417,NIRISS/WFSS,"Martel, Andre",1090,COM,JWST,-999,CALJWST,POLYGON 81.14060943 -70.10261127 81.03129007 -70.10242759 81.03249775 -70.06492517 81.14159545 -70.06513874 81.14060943 -70.10261127,mast:JWST/product/jw01090-o001_s03619_niriss_f158m-gr150c_cal.jpg,mast:JWST/product/jw01090-o001_s03619_niriss_f158m-gr150c_x1d.fits,PUBLIC,False,NaN,science,214658183,496748750
spectrum,3,JWST,jw01180-o026_s00042_nirspec_f170lp-g235m,GS-MEDIUM-HST,53.15372125,-27.78036944,59859.86436,59860.20476,3063.666,Infrared,F170LP;G235M,1660,5000,,NIRCam-NIRSpec galaxy assembly survey - GOODS-S - part #1athen,60225.37219,NIRSPEC/MSA,"Eisenstein, Daniel J.",1180,GTO,JWST,-999,CALJWST,POLYGON 53.093628888 -27.78528381 53.094587976 -27.78528381 53.094587976 -27.785329877 53.093628888 -27.785329877,mast:JWST/product/jw01180-o026_s00042_nirspec_f170lp-g235m_cal.jpg,mast:JWST/product/jw01180-o026_s00042_nirspec_f170lp-g235m_s2d.fits,PUBLIC,False,NaN,science,182502241,427854518
spectrum,3,JWST,jw01345-o069_s29788_nirspec_f100lp-g140m,CEERS-NIRSPEC-P9-MR-MSATA,215.0090554,52.92236111,59934.97545,59935.0382,2042.444,Infrared,F100LP;G140M,700,5000,,The Cosmic Evolution Early Release Science (CEERS) Survey free,59935.26625,NIRSPEC/MSA,"Finkelstein, Steven L.",1345,ERS,JWST,-999,CALJWST,POLYGON 214.973128207 52.896814506 215.031054395 52.896814506 215.031054395 52.896574672 214.973128207 52.896574672,mast:JWST/product/jw01345-o069_s29788_nirspec_f100lp-g140m_cal.jpg,mast:JWST/product/jw01345-o069_s29788_nirspec_f100lp-g140m_s2d.fits,PUBLIC,False,NaN,science,180330989,420725707
